,,,,,,,Active Nosepokes ,,,,,,,,,,,,,,,Inactive Nosepokes ,,,,,,,,,,,,,,,Pellets Earned ,,,,,,,,,,,,,,,Pellets Consumed ,,,,,,,,,,,,,,
Group,ID,Sex,FR1 Training Days ,Met Criteria,Days to criterion,Total days of training ,Active_Nosepokes_Day1,Active_Nosepokes_Day2,Active_Nosepokes_Day3,Active_Nosepokes_Day4,Active_Nosepokes_Day5,Active_Nosepokes_Day6,Active_Nosepokes_Day7,Active_Nosepokes_Day8,Active_Nosepokes_Day9,Active_Nosepokes_Day10,Active_Nosepokes_Day11,Active_Nosepokes_Day12,Active_Nosepokes_Day13,Active_Nosepokes_Day14,Active_Nosepokes_Day15,Inactive_Nosepokes_Day1,Inactive_Nosepokes_Day2,Inactive_Nosepokes_Day3,Inactive_Nosepokes_Day4,Inactive_Nosepokes_Day5,Inactive_Nosepokes_Day6,Inactive_Nosepokes_Day7,Inactive_Nosepokes_Day8,Inactive_Nosepokes_Day9,Inactive_Nosepokes_Day10,Inactive_Nosepokes_Day11,Inactive_Nosepokes_Day12,Inactive_Nosepokes_Day13,Inactive_Nosepokes_Day14,Inactive_Nosepokes_Day15,Pellets_Earned_Day1,Pellets_Earned_Day2,Pellets_Earned_Day3,Pellets_Earned_Day4,Pellets_Earned_Day5,Pellets_Earned_Day6,Pellets_Earned_Day7,Pellets_Earned_Day8,Pellets_Earned_Day9,Pellets_Earned_Day10,Pellets_Earned_Day11,Pellets_Earned_Day12,Pellets_Earned_Day13,Pellets_Earned_Day14,Pellets_Earned_Day15,Pellets_Consumed_Day1,Pellets_Consumed_Day2,Pellets_Consumed_Day3,Pellets_Consumed_Day4,Pellets_Consumed_Day5,Pellets_Consumed_Day6,Pellets_Consumed_Day7,Pellets_Consumed_Day8,Pellets_Consumed_Day9,Pellets_Consumed_Day10,Pellets_Consumed_Day11,Pellets_Consumed_Day12,Pellets_Consumed_Day13,Pellets_Consumed_Day14,Pellets_Consumed_Day15
C,23560-1,F,12,No,N/A,13,13,11,13,11,12,12,10,10,8,12,12,11,11,,,5,5,5,3,5,2,4,3,4,3,3,4,5,,,13,11,13,11,11,12,10,10,8,12,12,10,11,,,13,11,12,11,11,12,10,10,8,12,12,10,11,,
C,23560-2,F,7,Yes,7,7,9,12,6,10,11,8,11,,,,,,,,,3,2,2,5,2,2,2,,,,,,,,,9,12,6,10,11,8,11,,,,,,,,,9,12,6,10,11,8,11,,,,,,,,
C,23560-3,F,13,No,N/A,13,9,9,9,10,11,9,13,9,10,13,10,10,11,,,8,5,5,3,6,3,6,4,3,4,4,9,8,,,9,9,9,10,10,9,13,9,10,13,10,9,11,,,9,9,9,10,10,8,13,9,10,13,10,9,11,,
C,23560-4,F,13,No,N/A,13,10,11,12,12,12,14,14,9,11,15,13,14,13,,,9,5,2,9,8,3,6,7,4,7,5,3,7,,,9,11,12,12,12,14,14,9,10,14,12,14,13,,,9,11,12,12,12,0,14,8,10,14,12,14,13,,
C,23560-6,F,13,No,N/A,13,10,10,11,10,11,13,13,13,12,13,12,14,14,,,7,3,8,3,5,7,4,3,2,4,5,11,6,,,10,10,11,10,11,13,12,13,12,13,11,14,14,,,10,10,11,10,11,10,12,13,12,13,11,14,14,,
C,23669-1,F,14,No,N/A,14,7,8,11,10,11,11,19,13,10,11,14,15,13,11,,4,3,3,6,1,3,6,2,3,3,5,2,2,1,,6,8,10,10,10,11,18,13,10,11,14,15,13,11,,6,8,10,10,10,11,18,13,10,11,13,14,13,10,
C,23669-2,F,15,No,N/A,15,13,9,9,11,9,9,9,11,11,10,9,11,8,12,8,8,2,10,5,6,1,4,5,4,5,7,3,3,1,3,12,9,9,11,9,8,8,11,11,9,9,11,8,11,8,12,9,9,11,9,8,8,10,11,9,9,11,8,11,8
C,23669-4,F,15,No,N/A,15,6,10,10,13,9,9,11,10,14,13,12,15,13,15,12,6,2,6,5,6,3,3,3,6,0,4,6,13,5,5,6,9,9,13,9,9,10,10,13,13,12,14,13,14,12,5,9,9,13,7,9,10,10,10,13,9,11,8,14,12
C,23669-5,F,15,No,N/A,15,7,12,13,11,9,5,7,10,11,8,10,10,10,10,12,1,4,4,2,5,2,6,5,8,3,1,5,2,10,4,6,11,13,11,9,5,7,10,11,8,10,10,9,10,11,6,11,13,11,9,5,6,10,10,7,10,10,9,10,11
C,23671-44,F,15,No,N/A,15,11,9,5,10,10,12,16,18,12,16,9,7,11,7,10,4,4,9,7,18,5,8,9,3,8,2,6,15,2,7,11,9,5,10,10,12,16,18,11,15,9,7,11,7,9,11,9,5,10,9,12,15,18,11,15,9,7,11,7,9
